OBJECTID;Ruee;RUEE_RAD;Rule;Departamento;Localidad;Paraje;Cod_Ecuela;Descripcion_Escuela;Cod_Radicacion;Descripcion_Radicacion;Cod_Nivel;Descripcion_Nivel;Cod_Tipo_Curso;Descripcion_Tipo_Curso;Plan_Orientac;Cod_Corientac;Descripcion_Orientac;Turno;TurnoDescripcion;Modalidad;Calle;NroPuerta;Telefono;Mail;DescTCurso;DescOrient;RULE_RAD;x;y;RUEE_RAD_TEXT
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;7;DOBLE TURNO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;3;VESPERTINO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;3;VESPERTINO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;1;MATUTINO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;1;MATUTINO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;5;NOCTURNO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;0;SIN TURNO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;3;VESPERTINO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;1;MATUTINO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;3;VESPERTINO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;5;NOCTURNO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;5;NOCTURNO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;5;NOCTURNO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;5;NOCTURNO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;5;NOCTURNO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;5;NOCTURNO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;1;MATUTINO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;3;VESPERTINO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;1;MATUTINO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;5;NOCTURNO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;5;NOCTURNO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;1;MATUTINO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;5;NOCTURNO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;5;NOCTURNO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;1;MATUTINO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;1;MATUTINO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;5;NOCTURNO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;5;NOCTURNO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301002;;;MONTEVIDEO;MONTEVIDEO;CARRASCO NORTE;10002;INST. SUP. POLO EDUCATIVO TECNOLOGICO - LATU;;;2;EDUCACION MEDIA SUPERIOR;048;EDUCACIÓN MEDIA PROFESIONAL;2004;65H;OP. DE PROCESOS INDUSTRIALES;2;MATUTINO - VESPERTINO;;AV. ITALIA  - ED. LOS CEDROS;6201;098287174;;https://planeamientoeducativo.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm;;;584379;6139873;
;1301021;;;MONTEVIDEO;MONTEVIDEO;AGUADA;10021;ESCUELA TECNICA ARROYO SECO;;;0;EDUCACION MEDIA BASICA;101;EDUCACION BASICA INTEGRADA;2022;12C;EDUCACION BASICA INTEGRADA;3;VESPERTINO;;AVDA. AGRACIADA;2544;2924 3856 - 2924 3865;;https://gestioneducativa.utu.edu.uy/plan-de-educacion-basica-integrada/;;;573767;6139393;
;1301021;;;MONTEVIDEO;MONTEVIDEO;AGUADA;10021;ESCUELA TECNICA ARROYO SECO;;;0;EDUCACION MEDIA BASICA;101;EDUCACION BASICA INTEGRADA;2022;12C;EDUCACION BASICA INTEGRADA;3;VESPERTINO;;AVDA. AGRACIADA;2544;2924 3856 - 2924 3865;;https://gestioneducativa.utu.edu.uy/plan-de-educacion-basica-integrada/;;;573767;6139393;
;1301021;;;MONTEVIDEO;MONTEVIDEO;AGUADA;10021;ESCUELA TECNICA ARROYO SECO;;;0;EDUCACION MEDIA BASICA;101;EDUCACION BASICA INTEGRADA;2022;12C;EDUCACION BASICA INTEGRADA;3;VESPERTINO;;AVDA. AGRACIADA;2544;2924 3856 - 2924 3865;;https://gestioneducativa.utu.edu.uy/plan-de-educacion-basica-integrada/;;;573767;6139393;
;1301021;;;MONTEVIDEO;MONTEVIDEO;AGUADA;10021;ESCUELA TECNICA ARROYO SECO;;;0;EDUCACION MEDIA BASICA;101;EDUCACION BASICA INTEGRADA;2022;12C;EDUCACION BASICA INTEGRADA;3;VESPERTINO;;AVDA. AGRACIADA;2544;2924 3856 - 2924 3865;;https://gestioneducativa.utu.edu.uy/plan-de-educacion-basica-integrada/;;;573767;6139393;
;1301021;;;MONTEVIDEO;MONTEVIDEO;AGUADA;10021;ESCUELA TECNICA ARROYO SECO;;;0;EDUCACION MEDIA BASICA;101;EDUCACION BASICA INTEGRADA;2022;12C;EDUCACION BASICA INTEGRADA;3;VESPERTINO;;AVDA. AGRACIADA;2544;2924 3856 - 2924 3865;;https://gestioneducativa.utu.edu.uy/plan-de-educacion-basica-integrada/;;;573767;6139393;
;1301021;;;MONTEVIDEO;MONTEVIDEO;AGUADA;10021;ESCUELA TECNICA ARROYO SECO;;;0;EDUCACION MEDIA BASICA;101;EDUCACION BASICA INTEGRADA;2022;12C;EDUCACION BASICA INTEGRADA;3;VESPERTINO;;AVDA. AGRACIADA;2544;2924 3856 - 2924 3865;;https://gestioneducativa.utu.edu.uy/plan-de-educacion-basica-integrada/;;;573767;6139393;
;1301021;;;MONTEVIDEO;MONTEVIDEO;AGUADA;10021;ESCUELA TECNICA ARROYO SECO;;;0;EDUCACION MEDIA BASICA;101;EDUCACION BASICA INTEGRADA;2022;12C;EDUCACION BASICA INTEGRADA;3;VESPERTINO;;AVDA. AGRACIADA;2544;2924 3856 - 2924 3865;;https://gestioneducativa.utu.edu.uy/plan-de-educacion-basica-integrada/;;;573767;6139393;
;1301021;;;MONTEVIDEO;MONTEVIDEO;AGUADA;10021;ESCUELA TECNICA ARROYO SECO;;;0;EDUCACION MEDIA BASICA;101;EDUCACION BASICA INTEGRADA;2022;12C;EDUCACION BASICA INTEGRADA;3;VESPERTINO;;AVDA. AGRACIADA;2544;2924 3856 - 2924 3865;;https://gestioneducativa.utu.edu.uy/plan-de-educacion-basica-integrada/;;;573767;6139393;
